Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,58,,62,92,28,14,,,,220,,,,,,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,556990,,,,,,,,,,,,,,,,,,,861302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,290468,310894,,,,,,,,,,,,,,,477948,,,,,,,,,,214136,246024,215471,170490,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3469,6463,9222,,11586,12820,,,,12549,17511,16575,14461,10140,6487,,,,,,,4748,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,,,,,,,,1213,1283,2755,2883,3774,4166,4070,3971,,3408,,,,,1694,1559,1270,1203,420,,,,,,,,,,,,,,,,,,,,,,,,,381,
Bhutan,,,,,,,,,21651,21318,,,,,,,,,,,,,,,,,,,23359,23425,22367,21111,,,,16529,14380,,11087,8480,7269,6380,4931,5064,,5368,5363,5137,4124,,2286,
Botswana,34030,37384,38160,39344,37798,34582,32396,30302,30847,30839,28463,23917,,20371,19965,17814,15740,14758,14700,13804,15159,12912,13571,13782,13756,27189,26424,,23208,24475,23374,21469,20992,20928,17122,18386,16380,18997,21371,22020,,,19429,19247,19288,,,,,,,
Central African Republic,,45014,42091,40453,,,,54444,55696,,,49686,46245,39615,,,45769,72011,81091,84617,63456,80344,,,,,,,,,,,,,,146387,148337,121652,93583,95551,89755,102837,98866,,,,,,,,,
Canada,,,,,,,,,,,,,42354,42960,48272,51344,49022,48074,48829,40099,53084,17551,20848,36078,38476,56050,44580,,9916,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,221022,125318,139301,140160,127520,128876,129030,127741,128606,123547,106922,96425,90249,80861,83756,78454,86847,98186,106181,119199,129979,139707,130468,127365,
Switzerland,,,,,,,,77197,74629,,,65042,62679,61869,61344,59307,56533,52657,47572,42026,38102,36752,37505,40823,44055,26046,21800,,,,,,,,2295,,,,,1839,1603,1439,1770,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21329,16261,29512,20182,23093,24118,27343,26883,25567,21112,15069,7352,460,,
China,,,,,,,,,,,,,,,,,,1832161,,193853,,178214,809124,1550955,2679864,4175926,5468200,6490539,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,,,,,,,,201143,,,,,,,,,,,,,,,,,,,438618,439044,,441661,458597,413332,413489,537089,,,,,,641850,,,,516366,410588,346527,159702,141216,44066,32670,5796,
Cameroon,,139297,155864,171740,196533,160648,158444,174617,171177,173019,178651,,,,,,,,190039,,216110,246503,,,,,,,,,,,,,,,,,,,,86808,,,,,15527,48680,,83981,,
Congo Dem. Rep.,,250350,302952,,,314262,,,,281680,,,,293552,301265,,,,715898,,,898473,1008456,1096394,1070491,684735,,,,2357377,,,,,,,,,,,,,,,,,,,,,,
Congo Rep.,,,12417,,5876,,5099,,2478,2586,17120,19408,19434,20026,17753,,,,,,,,,,,,,,,,,,,,,145988,119517,,,,39447,,50246,,,,,,62954,,,
Colombia,,,,,,,,,,,,,,,,,630649,,,,,669261,,,,,,,,95617,74172,171461,150999,,77610,,,,,10554,41290,53744,97753,,,76236,98434,58849,52922,29320,35165,
Comoros,,,,,,,,,,,,,,,,,,5095,,,,,,,9277,,,,,15515,12563,,,,,,,9203,,,,,,5593,7084,,,8750,11522,,,
Cabo Verde,,,,,,,,,,,,2468,2657,3262,1935,1173,916,778,,,,,,,,,,,,,,993,1256,1226,1831,1223,740,709,785,1028,1418,1688,1608,1909,1848,1841,1915,1900,1735,2270,,
Costa Rica,23601,,20352,17670,,16819,13035,,13939,16357,16621,15812,19460,,,26555,26470,27186,,28153,29402,29530,,,,,,,,,,,,,,,,,,,,,,1311,5034,3858,3219,6948,,,,
Caribbean small states,30430,30855,28126,27841,23734,35728,42044,32465,33044,33157,39449,35976,28515,27584,28782,28705,29085,18867,21979,16825,25161,31499,32281,33920,33165,31689,31502,31659,28762,27456,24781,27362,34344,35047,27461,31243,32561,35148,32291,32650,30361,29451,,,,,,,,,,
Cuba,,,40715,30366,23557,,,,,,6154,30384,43103,42906,54941,59338,51352,38138,35013,33238,36772,39414,30122,26197,15399,17071,5008,5764,6019,1463,209,,,6007,6885,12318,18331,11062,11638,4972,2076,4282,7952,7601,19728,22410,20439,15641,7408,2399,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,62,224,,271,353,203,104,192,,,291,293,345,,,,,238,,,
Cyprus,,8167,8466,8292,8275,10694,11428,11704,11302,10936,11002,9798,10924,10702,10568,10372,8818,7519,7128,7361,8071,8280,9182,793,983,1243,1220,1273,,,765,759,430,291,205,,,,,,,,361,563,739,426,538,434,100,,,
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1286,1261,3043,2302,,,,,3607,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76270,61225,41400,31543,31405,26072,38734,44980,34548,35399,50194,54475,50187,31346,12033,,,24551,,
Djibouti,,,,,,,,,,,,,,,,25195,25832,27653,29815,31735,32939,,33236,35273,35549,36116,37297,39496,,41055,41303,39088,37803,,35262,34723,33340,31725,25471,26183,,21661,,21663,16916,20451,21832,20384,18804,16105,15489,
Dominica,,,,,,,606,763,,1308,1171,1509,927,,,,,,,,,,,,,,,,,,,538,382,544,598,712,760,802,716,436,,,,,,,,,,130,31,
Denmark,,,,,,,,,,,,10832,8739,4841,2201,3135,2637,2559,2342,4453,4518,3193,4241,4879,2000,3149,3071,,,,,,,,4928,3060,2563,1374,1669,2379,2771,2347,1558,595,1455,181,,,2294,2191,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84228,75970,,21342,40086,91755,84791,95303,53616,75667,,11507,21313,29454,32802,44199,23802,27258,31967,34506,25795,27230,
Algeria,,,,283516,228570,199841,178209,167812,165481,178197,168695,173949,190165,217328,209682,219631,214420,202063,190803,179905,178517,150340,137872,164060,180511,185079,208895,232013,,192033,181010,133845,111049,101506,83795,74041,65186,61099,36415,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,4644796,3302656,2205410,1530088,1889931,1829677,2392006,3199181,4234563,5844978,7267907,8395577,6939820,5058684,4684781,4203764,4138336,3921315,4161528,4140659,4689581,3674056,3565368,3204391,3242783,3325793,2941935,3216874,3007945,2846112,2769539,2603476,2541353,2662568,2637559,
Early-demographic dividend,25060436,25323072,24513488,23360840,23738088,23525144,23246824,22383702,23130992,23024684,22479010,21765920,21137782,20780556,20805682,21027232,20889240,21402838,20893880,19948042,20287600,20479524,20966898,21106124,20974976,21597518,21507906,22036644,21907852,21670312,20185638,19774676,19774968,19325774,17015768,14993717,14233646,11709026,12252080,13031598,12552132,13404868,11824072,10529902,11705159,12016729,11337713,11340633,10696217,10340188,11091702,
East Asia & Pacific,,,,,,,,,,,,,,,7310687,5907589,4742330,3361772,2240473,1560966,1931231,1911435,2505435,3342925,4358814,5983170,7425678,8591007,7160193,5288766,4897495,4387032,4323044,4093883,4324425,4262649,4803490,3779825,3664032,3303858,3334043,3436527,3078940,3364001,3144912,2942901,2881800,2730678,2651122,2755500,2730572,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,502735,578616,630104,789077,700951,708455,633838,544456,618175,504551,352125,270426,247378,440357,474349,456671,351987,414393,357602,349488,365977,315955,367532,350182,359799,347159,366032,384573,468824,
Europe & Central Asia,,,,1754118,1697256,1634258,1539082,1491451,1453544,1417589,1392274,1530138,1540192,1639333,1544105,1525503,1363123,1240373,1120665,1160469,1157131,1060903,1130487,1140698,1158658,1274868,1117309,1065298,749969,698117,781777,686001,626715,561346,566078,670983,700800,689362,546490,629519,554943,532861,555296,482884,564033,514891,514602,514375,558372,588993,671899,
Ecuador,,102807,,105339,104706,113701,114025,96989,87102,66786,77572,,,,,,,,,,,,,,69925,66495,57572,36686,34858,38096,31614,21337,,,,26947,21193,,66172,,,,,,,,,,,,,
